Outcome,Term,Coef,SE,t,p,type
cholesttotal_w6.5,st_latez,"-0.02 [-0.06, 0.02]",0.02,-1.03,0.30,unadjusted
cholesttotal_w6.5,female,"0.13 [0.04, 0.22]",0.05,2.77,0.006,unadjusted
cholesttotal_w6.5,indig,"0.08 [-0.37, 0.53]",0.23,0.34,0.73,unadjusted
cholesttotal_w6.5,ses_w6,"-0.03 [-0.07, 0.02]",0.02,-1.11,0.27,unadjusted
cholesttotal_w6.5,bad_diet,"-0.04 [-0.22, 0.14]",0.09,-0.4,0.69,unadjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.12 [-0.17, -0.08]",0.02,-5.33,< 0.001,unadjusted
cholesttotal_w6.5,fastingtime_w6.5,"0 [-0.03, 0.04]",0.02,0.23,0.82,unadjusted
cholesttotal_w6.5,(Intercept),"4.38 [4.08, 4.69]",0.15,28.42,< 0.001,adjusted
cholesttotal_w6.5,st_latez,"-0.02 [-0.07, 0.04]",0.03,-0.6,0.55,adjusted
cholesttotal_w6.5,female,"0.13 [0.01, 0.25]",0.06,2.14,0.032,adjusted
cholesttotal_w6.5,indig,"-0.2 [-0.78, 0.38]",0.3,-0.68,0.50,adjusted
cholesttotal_w6.5,ses_w6,"-0.04 [-0.1, 0.02]",0.03,-1.4,0.16,adjusted
cholesttotal_w6.5,bad_diet,"0.04 [-0.17, 0.25]",0.11,0.39,0.69,adjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.15 [-0.2, -0.09]",0.03,-4.96,< 0.001,adjusted
cholesttotal_w6.5,fastingtime_w6.5,"-0.02 [-0.06, 0.03]",0.02,-0.68,0.49,adjusted
cholesttotal_w6.5,accmvpa_w6.5_scaled,"-0.06 [-0.13, 0.01]",0.03,-1.75,0.080,adjusted
cholesttotal_w6.5,accsed_w6.5_scaled,"-0.01 [-0.07, 0.06]",0.03,-0.25,0.80,adjusted
cholesttotalhdl_w6.5,(Intercept),"1.5 [1.39, 1.6]",0.05,28.09,< 0.001,unadjusted
cholesttotalhdl_w6.5,st_latez,"-0.02 [-0.03, 0]",0.01,-1.96,0.051,unadjusted
cholesttotalhdl_w6.5,female,"-0.01 [-0.05, 0.03]",0.02,-0.63,0.53,unadjusted
cholesttotalhdl_w6.5,indig,"-0.02 [-0.21, 0.17]",0.1,-0.22,0.83,unadjusted
cholesttotalhdl_w6.5,ses_w6,"0.01 [-0.01, 0.03]",0.01,0.58,0.57,unadjusted
cholesttotalhdl_w6.5,bad_diet,"0.02 [-0.06, 0.09]",0.04,0.42,0.67,unadjusted
